TreeID,StandID,Plot,Tag,PrevPSPTag,PrevHOM,PrevDBH,PrevMS,PrevRT,PrevLA,Species,PrevStatus,PrevComments,gx,gy,PrevMainStem,PrevMulti,CrownScorch,CharUp,CharSide1,CharSide2,CharDown,PrevYear
101387,RS31,0002,101387,,137,23.6,,,,TSHE,1,BLACK MOLD ON PREV LOWER BRANCH SPOTS,1.782,70.738,101387,N,,,,,,
100333,RS31,0009,100333,,137,6.2,,,,RHMA,1,,7.247,246.702,100333,N,,,,,,
200670,RS31,0000,200670,,137,1.4,,,,TSHE,1,,0.357,3.761,200670,N,,,,,,
101104,RS31,0001,101104,,137,7.1,,,,THPL,1,,1.367,39.52,101104,N,,,,,,
100836,RS31,0002,100836,,137,14.9,,,,TSHE,1,,15.512,57.522,100836,N,,,,,,
501049,RS31,0000,501049,,137,1.2,,,,VAPA,1,,7.087,2.119,501049,N,,,,,,
101406,RS31,0009,101406,,137,3.1,,,,RHMA,1,,23.159,239.183,101406,N,,,,,,
1600611,RS31,0000,1600611,,137,1.4,,,,VAPA,1,130,0.561,10.029,1600611,N,,,,,,
200219,RS31,0008,200219,,137,50.6,,,,TSHE,1,,5.905,207.497,200219,N,,,,,,
200582,RS31,0000,200582,,137,3.6,,,,TSHE,1,,3.658,8.723,200582,N,,,,,,
200162,RS31,0005,200162,,137,2.1,,,,TSHE,1,NURSE,21.732,133.627,200162,N,,,,,,
100904,RS31,0009,100904,,137,1.3,,,,RHMA,1,,8.463,226.339,100904,N,,,,,,
200028,RS31,0004,200028,,137,13.5,,,,TSHE,1,,11.265,118.943,200028,N,,,,,,
101433,RS31,0009,101433,,137,1.7,,,,RHMA,1,,22.443,235.362,101432,Y,,,,,,
100879,RS31,0001,100879,,137,18,,,,TSHE,1,,18.311,28.292,100879,N,,,,,,
100002,RS31,0000,100002,,137,2.2,,,,TSHE,1,LEAN AT BASE,18.902,21.504,100002,Y,,,,,,
101431,RS31,0009,101431,,137,1,,,,ACMA,1,,20.155,234.271,101428,Y,,,,,,
100953,RS31,0008,100953,,137,1.8,,,,ACCI,1,,15.921,216.465,100953,N,,,,,,
100652,RS31,0008,100652,,137,2.5,,,,RHMA,1,,10.362,208.225,100651,Y,,,,,,
101468,RS31,0009,101468,,137,2.3,,,,RHMA,1,,15.049,227.451,101468,Y,,,,,,
100846,RS31,0001,100846,,137,45,,,,THPL,1,,13.29,40.072,100846,N,,,,,,
101164,RS31,0000,101164,,137,1.7,,,,VAPA,1,,8.684,13.963,101164,Y,,,,,,
200680,RS31,0000,200680,,137,1.4,,,,VAPA,1,,1.872,2.258,200680,N,,,,,,
101424,RS31,0009,101424,,137,2.7,,,,RHMA,1,,21.529,238.696,101423,Y,,,,,,
100811,RS31,0003,100811,,137,115.5,,,,PSME,1,,17.903,79.437,100811,N,,,,,,
101105,RS31,0001,101105,,137,6.5,,,,TSHE,1,,0.92,34.532,101105,N,,,,,,
100005,RS31,0000,100005,,137,11.9,,,,TSHE,1,,16.229,19.668,100005,N,,,,,,
200729,RS31,0007,200729,,137,4,,,,ACCI,1,,23.956,188.578,200729,N,,,,,,
301185,RS31,0000,301185,,137,1.5,,,,TSHE,1,,6.421,4.875,301185,N,,,,,,
301186,RS31,0000,301186,,137,2.4,,,,TSHE,1,,5.984,4.555,301186,N,,,,,,
501047,RS31,0000,501047,,137,1.8,,,,TSHE,1,,5.48,0.868,501047,N,,,,,,
100881,RS31,0001,100881,,137,6.5,,,,TSHE,1,BA,20.963,27.198,100881,N,,,,,,
200739,RS31,0007,200739,,137,11.3,,,,TSHE,1,,4.903,191.337,200739,N,,,,,,
100914,RS31,0008,100914,,137,1.3,,,,RHMA,1,,6.092,224.508,100914,N,,,,,,
200651,RS31,0000,200651,,137,1.3,,,,THPL,1,NURSE,3.114,6.383,200651,N,,,,,,
101459,RS31,0008,101459,,137,18.3,,,,TSHE,1,,24.294,223.93,101459,N,,,,,,
101490,RS31,0009,101490,,137,1,,,,RHMA,1,,6.29,237.399,101489,Y,,,,,,
1600605,RS31,0000,1600605,,137,1.2,,,,VAPA,1,,1.857,11.955,1600605,N,,,,,,
101361,RS31,0004,101361,,137,48.7,,,,TSHE,1,,1.696,104.078,101361,N,,,,,,
100843,RS31,0001,100843,,137,3.4,,,,THPL,1,,15.516,47.931,100843,N,,,,,,
101116,RS31,0001,101116,,137,2.1,,,,TSHE,1,,3.493,27.481,101116,N,,,,,,
200018,RS31,0004,200018,,137,12.5,,,,THPL,1,,16.156,121.389,200018,Y,,,,,,
100487,RS31,0009,100487,,137,3.2,,,,RHMA,1,,12.557,239.106,100487,Y,,,,,,
200335,RS31,0006,200335,,137,1.5,,,,RHMA,1,,15.115,170.132,200335,Y,,,,,,
101103,RS31,0001,101103,,137,11.7,,,,TSHE,1,WB,3.228,35.498,101103,N,,,,,,
200740,RS31,0007,200740,,137,3.4,,,,ACCI,1,,8.541,191.391,200740,N,,,,,,
1600614,RS31,0000,1600614,,137,2,,,,TSHE,1,LEAN,1.677,8.597,1600614,N,,,,,,
100001,RS31,0000,100001,,137,8.4,,,,TSHE,1,,17.729,24.394,100001,N,,,,,,
101346,RS31,0009,101346,,137,41.5,,,,PSME,1,,24.505,229.582,101346,N,,,,,,
100372,RS31,0009,100372,,137,17.6,,,,TSHE,1,PUSHED OVER BY FALLEN FIR; LEAN; UWD; STRESS,16.13,248.447,100372,N,,,,,,
200121,RS31,0005,200121,,137,13.3,,,,TSHE,1,,21.236,147.634,200121,N,,,,,,
200011,RS31,0004,200011,,137,121.2,,,,PSME,1,,21.94,118.726,200011,N,,,,,,
200131,RS31,0005,200131,,137,38.2,,,,PSME,1,,14.391,134.925,200131,N,,,,,,
301176,RS31,0007,301176,,137,1.1,,,,RHMA,1,,0.824,183.447,301174,Y,,,,,,
200640,RS31,0005,200640,,137,1.8,,,,ACMA,1,,3.043,145.216,200638,Y,,,,,,
101430,RS31,0009,101430,,137,27.9,,,,ACMA,1,,20.155,234.271,101428,Y,,,,,,
200035,RS31,0004,200035,,137,1.2,,,,VAPA,1,,9.146,122.912,200033,Y,,,,,,
100872,RS31,0001,100872,,137,18.9,,,,TSHE,1, WITCHES BROOM,11.522,28.169,100872,N,,,,,,
100092,RS31,0004,100092,,137,1.7,,,,VAPA,1,,3.391,120.442,100092,Y,,,,,,
200314,RS31,0007,200314,,137,1.4,,,,ACMA,1,,16.292,176.089,200314,Y,,,,,,
100944,RS31,0008,100944,,137,4.2,,,,TABR,1,,11.796,215.721,100944,N,,,,,,
200085,RS31,0004,200085,,137,53.8,,,,PSME,1,,9.982,105.24,200085,N,,,,,,
100485,RS31,0009,100485,,137,4.8,,,,RHMA,1,,11.572,241.099,100485,N,,,,,,
100661,RS31,0008,100661,,137,1.3,,,,RHMA,1,,10.834,208.106,100659,Y,,,,,,
101165,RS31,0000,101165,,137,1.2,,,,VAPA,1,,8.684,13.963,101164,Y,,,,,,
100003,RS31,0000,100003,,137,1.4,,,,TSHE,1,LEAN AT BASE,18.902,21.504,100002,Y,,,,,,
200038,RS31,0004,200038,,137,1.1,,,,VAPA,1,,9.146,122.912,200033,Y,,,,,,
200029,RS31,0004,200029,,137,1.4,,,,VAPA,1,,9.498,123.067,200029,Y,,,,,,
100880,RS31,0001,100880,,137,9.5,,,,TSHE,1,,19.166,29.118,100880,N,,,,,,
101140,RS31,0000,101140,,137,1.3,,,,RHMA,1,POM 135 FOR 0101138,6.858,16.721,101138,Y,,,,,,
200555,RS31,0001,200555,,137,2.3,,,,THPL,1,GROUND; UWD,4.581,41.768,200555,N,,,,,,
101470,RS31,0009,101470,,137,3.6,,,,RHMA,1,,14.447,230.149,101470,N,,,,,,
